2025-08-07 09:48:32.772 | DEBUG    | 56156 | 29148 | data_service.data_fetcher:fetch_data_with_retry:160 - Data fetch attempt 1/3 for EURUSD
2025-08-07 09:48:32.772 | DEBUG    | 56156 | 29148 | data_service.data_fetcher:ensure_symbol_selected:147 - Symbol EURUSD selected successfully
2025-08-07 09:48:33.337 | DEBUG    | 56156 | 53288 | market_structure.swing_analyzer:_detect_primary_swings:140 - Detected 115 primary swing points
2025-08-07 09:48:33.340 | DEBUG    | 56156 | 53288 | market_structure.swing_analyzer:_validate_swings:203 - Validated 115 swing points from 115 detected
2025-08-07 09:48:33.376 | DEBUG    | 56156 | 29148 | data_service.data_fetcher:fetch_data_with_retry:160 - Data fetch attempt 1/3 for EURUSD
2025-08-07 09:48:33.377 | DEBUG    | 56156 | 29148 | data_service.data_fetcher:ensure_symbol_selected:147 - Symbol EURUSD selected successfully
2025-08-07 09:48:33.454 | DEBUG    | 56156 | 53288 | market_structure.swing_analyzer:_detect_primary_swings:140 - Detected 130 primary swing points
2025-08-07 09:48:33.457 | DEBUG    | 56156 | 53288 | market_structure.swing_analyzer:_validate_swings:203 - Validated 130 swing points from 130 detected
2025-08-07 09:48:33.494 | DEBUG    | 56156 | 29148 | data_service.data_fetcher:fetch_data_with_retry:160 - Data fetch attempt 1/3 for EURUSD
2025-08-07 09:48:33.495 | DEBUG    | 56156 | 29148 | data_service.data_fetcher:ensure_symbol_selected:147 - Symbol EURUSD selected successfully
2025-08-07 09:48:33.576 | DEBUG    | 56156 | 53288 | market_structure.swing_analyzer:_detect_primary_swings:140 - Detected 125 primary swing points
2025-08-07 09:48:33.580 | DEBUG    | 56156 | 53288 | market_structure.swing_analyzer:_validate_swings:203 - Validated 125 swing points from 125 detected
2025-08-07 09:48:33.624 | DEBUG    | 56156 | 29148 | data_service.data_fetcher:fetch_data_with_retry:160 - Data fetch attempt 1/3 for GBPUSD
2025-08-07 09:48:33.624 | DEBUG    | 56156 | 29148 | data_service.data_fetcher:ensure_symbol_selected:147 - Symbol GBPUSD selected successfully
2025-08-07 09:48:33.970 | DEBUG    | 56156 | 53288 | market_structure.swing_analyzer:_detect_primary_swings:140 - Detected 120 primary swing points
2025-08-07 09:48:33.972 | DEBUG    | 56156 | 53288 | market_structure.swing_analyzer:_validate_swings:203 - Validated 120 swing points from 120 detected
2025-08-07 09:48:34.004 | DEBUG    | 56156 | 29148 | data_service.data_fetcher:fetch_data_with_retry:160 - Data fetch attempt 1/3 for GBPUSD
2025-08-07 09:48:34.004 | DEBUG    | 56156 | 29148 | data_service.data_fetcher:ensure_symbol_selected:147 - Symbol GBPUSD selected successfully
2025-08-07 09:48:34.075 | DEBUG    | 56156 | 53288 | market_structure.swing_analyzer:_detect_primary_swings:140 - Detected 114 primary swing points
2025-08-07 09:48:34.077 | DEBUG    | 56156 | 53288 | market_structure.swing_analyzer:_validate_swings:203 - Validated 114 swing points from 114 detected
2025-08-07 09:48:34.109 | DEBUG    | 56156 | 29148 | data_service.data_fetcher:fetch_data_with_retry:160 - Data fetch attempt 1/3 for GBPUSD
2025-08-07 09:48:34.110 | DEBUG    | 56156 | 29148 | data_service.data_fetcher:ensure_symbol_selected:147 - Symbol GBPUSD selected successfully
2025-08-07 09:48:34.177 | DEBUG    | 56156 | 53288 | market_structure.swing_analyzer:_detect_primary_swings:140 - Detected 121 primary swing points
2025-08-07 09:48:34.180 | DEBUG    | 56156 | 53288 | market_structure.swing_analyzer:_validate_swings:203 - Validated 121 swing points from 121 detected
2025-08-07 09:48:34.215 | DEBUG    | 56156 | 29148 | data_service.data_fetcher:fetch_data_with_retry:160 - Data fetch attempt 1/3 for EURUSD
2025-08-07 09:48:34.215 | DEBUG    | 56156 | 29148 | data_service.data_fetcher:ensure_symbol_selected:147 - Symbol EURUSD selected successfully
2025-08-07 09:48:34.271 | DEBUG    | 56156 | 53288 | market_structure.swing_analyzer:_detect_primary_swings:140 - Detected 118 primary swing points
2025-08-07 09:48:34.273 | DEBUG    | 56156 | 53288 | market_structure.swing_analyzer:_validate_swings:203 - Validated 118 swing points from 118 detected
2025-08-07 09:48:34.306 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: min() arg is an empty sequence
2025-08-07 09:48:34.306 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: max() arg is an empty sequence
2025-08-07 09:48:34.309 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: max() arg is an empty sequence
2025-08-07 09:48:34.311 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: max() arg is an empty sequence
2025-08-07 09:48:34.312 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: min() arg is an empty sequence
2025-08-07 09:48:34.318 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: min() arg is an empty sequence
2025-08-07 09:48:34.318 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: max() arg is an empty sequence
2025-08-07 09:48:34.319 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: min() arg is an empty sequence
2025-08-07 09:48:34.319 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: min() arg is an empty sequence
2025-08-07 09:48:34.319 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: min() arg is an empty sequence
2025-08-07 09:48:34.321 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: max() arg is an empty sequence
2025-08-07 09:48:34.324 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: max() arg is an empty sequence
2025-08-07 09:48:34.325 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: min() arg is an empty sequence
2025-08-07 09:48:34.327 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: max() arg is an empty sequence
2025-08-07 09:48:34.327 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: min() arg is an empty sequence
2025-08-07 09:48:34.327 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: max() arg is an empty sequence
2025-08-07 09:48:34.328 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: min() arg is an empty sequence
2025-08-07 09:48:34.331 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: max() arg is an empty sequence
